,page,part,speaker,speech,year
0,7,1,Mr. PROXMIRE.," Mr. President, in  the next several weeks, Congress will  be considering  fundamental changes  in financial law. We will be revisiting  the Glass-Steagall Act of 1933.  Fortunately, the fourth estate has  covered this issue in some detail and  our Nation's editorial writers have de voted considerable time to the subject.  Today,  I submit for  the RECORD  a  number of editorials from Texas news papers. The Dallas Morning News, for  example, dedicated a three-part series  to the argument that reform is neces sary, and  that  this  reform  requires  that the monopoly enjoyed by security  firms-an unintended effect of Glass Steagall-must be busted.  I ask unanimous consent that the  editorials be printed in the RECORD.  There being no objection, the edito rials were ordered to be printed in the  RECORD, as follows:  [From the Dallas Morning News, Jan. 7,  1987]  THE NATION'S FINANCIAL SYSTEM Is A MESS  Ask any American to name top problems  facing the nation, and it's a good bet the  words ""financial system"" will not be ut teredunless perhaps the respondent  is a  banker.  Yet, if reform of the financial system is  not quickly undertaken, the nation could be  flirting with a near-term collapse of that  system and, in the slightly longer term, loss  of world leadership in financial services.  Consider:  One in 10 U.S. banks-1,484 to be precise is considered by the Federal Deposit Insur ance Corp. to be in ""trouble.""  One in five savings and loans is considered  to be in ""deep trouble"" by the Federal Sav ings and Loan Insurance Corp.  No U.S. bank remains among the world's  10 largest, and only three remain among the  top 20. The world's seven largest banks are  Japanese. A single Japanese securities firm,  Nomura,  is  responsible for  financing one third of  the entire national debt of  the  United States.  Some of  this nation's largest banks are  threating to return their bank charters and  either become state banks outside the Fed eral Reserve system or to stop being banks  and become financial  institutions without  the right to either gather deposits or make  commercial loans.  Unregulated subsidiaries of non-financial  firms such as Sears and General Motors  raised their share of the U.S. credit from 9  to 19 percent in the last 10 years.  Although a topic even less sexy and more  complex than tax reform, reform of the na tion's financial system must become a  top  agenda item for the new Congress. Congress  should: a> define the activities that may be  undertaken by various types of financial in stitutions and the markets they may serve;  b> determine to what degree market forces  will be allowed to shape the future of the fi nancial system; and c> redesign the financial  regulatory system to meet the radically al tered structure of the industry.  From the Great Depression until the mid1970s, the nation's financial ""central differ ent institutions <commercial banks,  invest ment bankers, thrifts and insurance compa nies) existed  to do  specific  jobs without  treading  on  each  others'  territory,  and  where non-financial concerns were prohibit ed from financial services altogether. Banks  were not allowed to pay interest on demand  deposits  <checking  accounts),  and  the  amount of interest that could be paid on  time deposits was fixed by the government  (by Regulation Q>. It wasn't too difficult to  pay a fixed low rate for deposits, loan them  out to creditworthy borrowers, and show a  profit.  But over  the past decade,  this ""central  nervous  system""  has  undergone  severe  shocks. The first shock came when market  interest rates shot far above levels the gov ernment allowed depository institutions to  pay for time accounts. Hundreds of billions  of dollars in savings fled banks and thrifts  for vehicles such as ""money market mutual  funds,"" which were created by securities  firms  and offered near-checking  account  convenience with high  rates of  interest.  Congress responded by ""deregulating"" inter est  rates. Almost overnight, banks were  taken  from  a  protected and predictable  status to the fierce disciplines of the mar ketplace.  This  deregulation  has  forced  banks to compete (pay higher prices> with a  variety  of  non-bank  entities  for  capital  while  institutions  from Sears  to Merrill  Lynch have continued to encroach on bank ers' turf by offering additional  traditional  banking services.  Another shock arrived with those comput er  technologies that turn money into elec trons and send  them whizzing about  the  globe <and across state boundaries) at the  speed of  light,  thereby greatly  thwarting  government efforts  to control  the money  supply, capital flow or exchange rates.  A final shock occurred when a variety of  bad debts began to crash in on banks and  thrifts. The first round hit the big multina tional  lenders when  falling  commodity  prices undermined the ability of many for eign governments <Mexico, Brazil, Poland>  to repay hundreds of billions in loans. Other  U.S. banks were hit when loans to energy  concerns and farmers went sour.  Thrifts <which primarily use savings from  small investors and channel them into mort gage  investments> got  into  trouble when  they found themselves having to pay high  market rates for deposits while their loan  portfolios were primarily low-interest, long term mortgages. To get more money into  the thrifts, Congress allowed 20 percent of  their deposits to be  invested in non-mort gage  investments  like  commercial  real  estate. Lacking the expertise to make wide ranging loans, many savings and loan insti tutions poured billions into bad deals.  The financial system has done the best it  could to adjust. But it has had to do so with out much guidance from Congress or even  those regulatory agencies currently charged  with managing  the system. This has oc curred because Congress  has deadlocked  over whether  the government should act  forcefully  to maintain  the walls between  types of financial institutions, between com merce and finance, and between states, or  whether to encourage the rapid metamor phosis of the financial  institutions toward  large, nationwide, diverse enterprises guided  more by the demands of the market than  the visions of regulators.  Whatever the merits of available options,  the most unacceptable option  is  inaction.  Government must provide  the framework  for the nation's financial nervous system. If  it fails to do so, it courts disaster as individ ual savers and investors lose confidence in  the system, as Americans turn to foreign al ternatives to meet their money needs and as  experimentation  increasingly  defies  the  ability of  regulators  to assure safety and  soundness.  [From the Dallas Morning News, Jan. 8,  1987]  THE SYSTEM NEEDS TO BE UNCHAINED  The United States'  financial  system  is  being called on to do an increasing number  of jobs:  Finance large multinational corporations  as well as smallto medium-sized businesses.  Provide venture capital for ideas that still  are gleams  in entrepreneurs' eyes. Keep  thousands of governmental entities funded.  All this and still supply credit to individual  consumers in a wide range of income brack ets.  At the same time, the U.S. financial indus try is as much under siege from Japanese  and European competitors as are other in dustries. And, as with other industries, the  foreign competition operates with far fewer  constraints. Japanese and most European  banks  labor under  far  fewer  restrictions  than do U.S. banks, and some may even  engage in ""merchant"" banking (equity own ership for investment purposes). Many for eign banks are not required to maintain spe cific amounts of reserves.  U.S. financial institutions are caught be cause populist  laws  build walls between  types of institutions, between state markets  and between commerce and finance. At the  same  time,  the  international marketplace  demands  large,  sophisticated  enterprises  able to offer a wide variety of financial serv ices and products at the lowest possible cost.  Historically, many Americans  have been  leery of nationwide financial conglomerates  and  a  concentration of  assets  in  fewer  hands. But we must now accommodate our selves to new realities. If the U.S. financial  industry  fails  to serve  the world market place,  foreign  institutions will-at great  profit. That will mean a continued wither ing of U.S. financial muscle and a growing  ",1988
1,20,1,Mr. DOLE.," Mr. President, Senators  have made many memorable speeches  in this Chamber but 71 years ago this  week a President of the United States  delivered an important address, from  the rostrum before us. At 1 p.m. on  January 22, 1917, President Woodrow  Wilson was escorted into the Chamber  by a committee of Senators, and took  a seat to the right of Vice President  Thomas R. Marshall, the presiding of ficer.  At that time the First World War  was raging in Europe, with England,  France, and Russia combatting Ger many and Austria. The United States  had maintained its neutrality-Wilson  had  just won  reelection under  the  slogan: ""He Kept Us Out Of War"" but  German  infringements  upon  United States neutrality rights were  increasingly  pressuring  the Nation  into war. On this day, however, Presi dent Wilson addressed the Senate, ""as  the council associated with me in the  final determination of our internation al obligations,""  to outline his vision  for permanent peace in the future.  Wilson took the bold step of calling  for a  ""peace without victory."" This  was difficult  to propose  in wartime,  but he argued  that ""victory would  mean peace  forced  upon  the  loser  It would be accepted in humilia tion, under duress, at an  intolerable  sacrifice, and would leave a sting, re sentment,  a  bitter memory  upon  which terms of peace would rest, not  permanently, but only as upon quick sand. Only a peace between equals can  last."" The warring powers, of course,  ignored and ridiculed Wilson's propos als, and even the United States forgot  them as soon as this Nation entered  the war  in April 1917. When World  War I ended, not by ""peace without  victory,"" but with the total defeat of  Germany,  the  resulting  peace was  built upon the quicksand that Wilson  had predicted,  leading  to a Second  World War just 20 years later.  .      MESSAGES  FROM  THE HOUSE  RECEIVED  SUBSEQUENT  TO  SINE DIE ADJOURNMENT  ENROLLED BILLS SIGNED  Under the authority of the order of  the Senate of February 3, 1987,  the  Secretary of the Senate, on December  23, 1987, subsequent to the sine die ad journment of the Senate, received a  message from the House of Represent atives announcing  that  the Speaker  had signed the following enrolled bills:  H.R.  1162. An  act  to  amend  title  28,  United States Code, to provide for the selec tion of the court of appeals to decide multi ple appeals filed with respect to the same  agency order;  H.R. 1340. An act to improve the distribu tion procedures  for agricultural commod ities and their products donated for the pur poses of assistance through the Department  of Agriculture;  H.R. 1454. An act to permit private contri butions for construction of the Korean War  Veterans Memorial to be invested temporar ily in Government securities until such con tributed amounts are required for disburse ment for the memorial;  H.R. 2401. An act to extend the authoriza tion of the Renewable Resources Extension  Act of 1978, and for other purposes;  H.R. 3435. An act to provide that certain  charitable  donations,  and  payments  for  blood contributed, shall be excluded from  income for purposes of the Food Stamp Pro gram; and  H.R. 3674. An act to provide congressional  approval of  the Governing  International  Fisheries Agreement between  the United  States and Japan; to implement the provi sions of Annex V to the International Con vention  for  the Prevention of Pollution  from Ships, 1973; to reauthorize the Nation al Sea Grant College Program Act;  to im prove efforts to monitor, assess, and reduce  the adverse  impacts of driftnets, and for  other purposes.  Under the authority of the order of  the Senate of February 3, 1987, the en rolled bills were signed on December  29, 1987, during the sine die adjourn ment of  the Senate, by  the Acting  President pro tempore [Mr. BYRD].  ENROLLED BILLS AND JOINT RESOLUTION SIGNED  Under the authority of the order of  the Senate of February 3, 1987,  the  Secretary of the Senate, on December  30, 1987, during the sine die adjourn ment of the Senate, received a mes sage from the House of Representa tives,  announcing  that  the Speaker  had signed the following enrolled bills  and joint resolution:  S. 1389. An Act  to amend the National  Fish  and Wildlife Foundation Establish ment Act with respect to management req uisition, and disposition of real property, re authorization, and participation of foreign  governments;  H.R. 145. An act to provide for a computer  standards  program within  the National  Bureau of Standards, to provide for Govern mentwide computer security, and to provide  for the training of the security matters of  persons who are  involved  in the manage ment, operation, and use of Federal comput er systems, and for other purposes;  H.R. 278. An act to amend the Alaska Na tives Claims Settlement Act to provide Alaskan Natives with certain options  for  the  continued ownership of lands and corporate  shares received pursuant to the act, and for  other purposes;  H.R. 2598. An act to limit the ability of  foreign-built and foreign-rebuilt vessels  to  qualify for certain benefits under the Mag nuson Fishery Conservation and Manage ment Act, and for other purposes;  H.R. 3030. An act to provide credit assist ance  to  farmers,  to strengthen  the Farm  Credit System,  to facilitate  the establish ment of secondary markets for agricultural  loans, and for other purposes;  H.R. 3395. An act making technical correc tions to the Federal Employees' Retirement  System, and for other purposes;  H.R. 3479. An act to provide for adjust ments of royalty payments under certain  Federal onshore and  Indian oil  and gas  leases, and for other purposes; and  H.J. Res. 436. Joint resolution providing  for the convening of the second session of  the One Hundredth Congress.  Under the authority of the order of  the Senate of February 3, 1987, the en rolled bills and joint resolution, except  H.R. 278, were signed on December 30,  1987, during the sine die ajournment  of the Senate, by the Acting President  pro tempore [Mr. BYRD].  Under the authority of the order of  the Senate of February 3, 1987,  the  bill H.R. 278 was signed on January 21,  1988, during the sine die adjournment  of the Senate by the Act of President  pro tempore [Mr. BYRD].  ENROLLED BILL PRESENTED  The Secretary of the Senate report ed that on December 30, 1987, he had  presented  to  the President  of  the  United States the following enrolled  bill:  S. 1389. An act  to amend the National  Fish  and Wildlife Foundation Establish ment Act with respect to management req uisition, and disposition of real property, re authorization, and participation of foreign  governments.  MESSAGES FROM THE HOUSE  At 2:27 p.m., a message  from  the  House of Representatives, delivered by  Ms. Goetz, one of its reading clerks,  announced that the House has agreed  to the following concurrent resolution,  in which it requests the concurrence  of the Senate:  H. Con. Res. 236. A concurrent resolution  providing for a joint session of Congress to  receive the President's Message on the State  of the Union.  The message also announced  that  the House has agreed to the following  resolutions:  H. Res. 346. A resolution authorizing the  appointment of a committee on the part of  the House  to notify  the President that a  quorum of each House is assembled.  H. Res. 347. A  resolution directing  the  Clerk of the House to inform the Senate  that a quorum of the House is assembled;  and  H. Res. 349. A resolution relative to the  death of the Honorable Dan Daniel, late a  ",1988
2,33,1,Mr. BUMPERS.," Mr. President, the  Committee  on Small Business  has  scheduled the first in a series of hear ings on  legislation  to  improve  the  Small Business Administration's Mi nority Small Business  and Capital  Ownership Development [MSB/COD]  Program, more frequently referred to  as the SBA section 8(A) Program. The  initial hearing is scheduled for Tues day, February 2, 1988, commencing at  10 a.m. It will be held in the commit tee's hearing room in SR-428A.  The Committee will be receiving tes timony on S. 1993, the Minority Busi ness Development Program Reform  Act of 1987, a bill which I introduced  along with Senator WEICKER and Sen ator KERRY on December 21, 1987. Tes timony will also be received on H.R.  1807, the Capital Ownership Develop ment Reform Act of 1987, a similar bill  which passed the House on December  1, 1987.  During this initial hearing, testimo ny will be received from the Adminis trator of the Small Business Adminis tration, representatives of the General  Accounting Office, the Administrator  of the Office of Federal Procurement  Policy, and representatives of the Na tional Academy of Public Administra tion, which  recently  completed  for  SBA for a management review of the  organization  and  operation  of  the  MSB/COD  Program.  Subsequent  hearings, which will be scheduled for  late February and early March, will  focus on testimony from organizations  representing  the minority  business  community as well as individual pro gram participants and program gradu ates.  Further information concerning the  committee's hearings on  this  impor tant effort may be obtained from the  Committee's procurement policy coun sel, William B. Montalto. Bill may be  reached at 224-5175.  COMMITTEE ON ENERGY AND NATURAL  RESOURCES  ",1988
3,33,1,Mr.  JOHNSTON.," Mr. President,  I  would like to announce for the infor mation of the Senate and the public  that a hearing has been scheduled on  Senate Joint Resolution 231,  to au thorize  the entry  into  force of  the  ""Compact of Free Association""  be tween the United States and the Gov ernment of Palau, and for other pur poses.  This hearing will take place on Janu ary 28, 1988, at 10 a.m. in room 366 of  the Dirksen Senate Office Building in  Washington, DC.  Those wishing to submit written tes timony should address it to the Com mittee on Energy and Natural Re sources, U.S. Senate, Washington, DC  20510.  For further information, please con tact Allen Stayman at (202) 224-7865.  Mr. President,  I would  like  to an nounce  for  the  information of  the  Senate and the public, the scheduling  of two oversight hearings before the  Committee on Energy and Natural Re sources.  The  hearings  will  be  held  on  Monday, February 1, 1988, and Tues day, February 2, 1988, at 9:30 a.m. in  room SD-366 of  the Dirksen Senate  Office Building.  Testimony will be received regarding  proposals before the Federal Energy  Regulatory Commission to: First, clari fy certain requirements of the Public  Utility Regulatory Policies Act of 1978  [PURP Al;  second, provide guidelines  for the use of competitive bidding sys tems  to  acquire  nonutility  power  under PURP A; and third, create a new  category of Independent Power Pro ducers [IPP's] who would be subject to  reduced regulation under the Federal  Power Act.  For  further  information  regarding  the hearings, you may wish to contact  Bill Conway, senior counsel  for  the  committee, at <202)  224-7149. Those  wishing  to  testify or who wish  to  submit a written statement for inclu sion in the hearing record should write  to the Committee on Energy and Nat ural Resources, room SD-364, Dirksen  Senate Office Building, Washington,  DC 20510.  SUBCOMMITTEE ON WATER AND POWER  ",1988
4,33,1,Mr. BRADLEY.," Mr.  President,  I  would like to announce for the infor mation of the Senate and the public,  the  scheduling  of  a  field  hearing  before  the Subcommittee on Water  and  Power  of  the Committee  on  Energy and Natural Resources.  This  hearing  will  be  held  on  Monday, February 8, 1988, beginning  at 9 a.m. and concluding at noon, in  the Walla Walla Room of  the Red  Lion Motor Inn, 304 South East Nye  Avenue, Pendleton, OR.  Testimony will be received regarding  S. 1613, to authorize the Secretary of  the Interior to construct, operate, and  maintain the Umatilla Basin project,  Oregon, and for other purposes.  For further  information  regarding  the hearing, you may wish to contact  Russell R. Brown, professional staff  for the committee, at <202) 224-2366.  Those wishing to testify or who wish  to submit a written statement for in clusion in the hearing record should  write to the Committee on Energy and  Natural  Resources,  SD-364,  Dirksen Senate Office Building, Wash ington, DC 20510.  roo~n  ADDITIONAL STATEMENTS  NATIONAL GEOGRAPHIC  SOCIETY  e ",1988
5,33,1,Mr. STAFFORD.," Mr. President,  I  stand before the Senate to recognize  the outstanding contribution the Na tional Geographic Society has made to  this country. In its charter statement,  the National Geographic Society sets  out for  itself the  task of  increasing  and disseminating geographic knowl edge. The society has taken up  this  mission  in earnest, achieving respect  and admiration for it's outstanding ef forts  to promote geographic literacy  among the citizens of our Nation.  Attaining geographic literacy for all  the citizens of our Nation is a crucial  goal, a goal we are far from reaching.  At hearings held last fall, we learned  that knowledge of geography is woe fully lacking among school-aged chil dren. As  a  consequence, my  good  friend Senator BRADLEY and  I orga nized a successful campaign to declare  November 15-21 as Geography Aware ness Week. During that time activities  promoting  geography  literacy were  carried out across our Nation. Geogra phy Awareness Week is a good begin ning, but it is not nearly enough. In  the past 10 years geography as a sub ject of study has all but disappeared  from American  classrooms.  In  the  mind of this Senator, geographic illit eracy is a stumbling block to achieving  economic competitiveness and a threat  to our environmental well-being.  Recognizing  the need  to  increase  awareness of geography, Gilbert Gros venor, the president of National Geo graphic  is steering the society on a  long-range program of geography edu cation. Educational  efforts  are not  new to that organization. National Ge ographic has earned a  reputation of  being America's premier promoter of  global understanding through educa19-059 0-89-2 (Pt. 1)  ",1988
6,46,1,The SPEAKER pro  tempore., The  question is on the resolution.  The resolution was agreed to.  A motion to reconsider was laid on  the table.  REPORT OF COMMITTEE TO  NOTIFY THE PRESIDENT  ,1988
7,46,1,Mr. FOLEY.," Mr. Speaker, your com mittee on the part of the House  to  join a  like committee on the part of  the Senate to notify the President of  the United States that a quorum of  each House has been assembled and is  ready  to  receive any communication  that he may be pleased to make has  performed that duty.  The President asked us  to  report  that he will be pleased to deliver his  message at 9 p.m.  tonight, Monday,  January 25, 1988, to a joint session of  the two Houses.  PROVIDING FOR JOINT SESSION  OF CONGRESS-STATE OF THE  UNION ADDRESS  ",1988
8,46,1,Mr. FOLEY.," Mr. Speaker, I offer a  privileged concurrent  resolution <H.  Con. Res. 236) and ask for its immedi ate consideration.  The Clerk read the concurrent reso lution, as follows:  H. CON. RES. 236  Resolved by the House of Representatives  fthe  Senate  concurring), That  the  two  Houses of Congress assemble in the Hall of  the House of Representatives on Monday,  January 25, 1988, at 9 o'clock post meridiem,  for the purpose of receiving such communi cation as the President of the United States  shall be pleased to make to them.  The  concurrent  agreed to.  A motion to reconsider was laid on  the table.  resolution  was  AUTHORIZING THE SPEAKER TO  DECLARE RECESS TODAY  ",1988
9,46,1,Mr. FOLEY.," Mr. Speaker,  I  ask  unanimous consent that it may be in  order  for  the Speaker  to declare a  recess today subject to the call of the  Chair.  The SPEAKER pro  tempore <Mr.  PICKETT). Is there objection to the re quest of the gentleman from Washing ton?  There was no objection.  DISPENSING WITH  CALENDAR  WEDNESDAY  BUSINESS  ON  WEDNESDAY NEXT  ",1988
