,branch,congressID,ideology_score,page,part,speaker,speech,year
0,Senate,105,0.39,4,1,Mr. LOTT.," I now send to the desk a  list of appointments  that were made  during the sine die adjournment of the  Senate and ask  that it be printed in  the RECORD.  There being no objection, the mate-  rial was ordered  to be printed in the  RECORD, as follows:  To the Congressional Award Board, pursu ant to Public Law 96-114, as amended, Martis  James Davis, of New York (Nov. 21, 1997).  To the National Bipartisan Commission on  the Future of Medicare, pursuant to Public  Law 105-33,  the Senator  from Texas  (Mr.  Gramm),  the Senator from Tennessee  (Mr.  Frist),  Illene Gordon,  of Mississippi,  and  Deborah Steelman,  of Virginia  (Nov.  25,  1997).  To  the Panel  to Review Long-Range Air  Power, pursuant  to Public Law 105-56,  J.  James Exon, of Nebraska (Dec. 12, 1997).  To the National Council of the Arts, pursu ant to Public Law 10s--g3, Richard J. Durbin,  of Illinois (Dec. 31, 1997).  To  the Social Security Advisory Board,  pursuant to Public Law 103-296, in consulta tion with the Chairman of the Senate Com mittee on Finance, Sylvester J. Schieber, of  Maryland (Jan. 19, 1998).  To the Congressional Award Board, pursu ant to Public Law 96-114, Clinton Bristow,  Jr., of Mississippi (Jan. 20, 1998).  To the Census Monitoring Board, pursuant  to Public Law 105-119, Joe D. Whitley, of  Georgia, and Max W. Williams, of Mississippi  (Jan. 20, 1998).  To the Congressional Award Board, pursu ant to Public Law 96-114, Felix Sanchez, of  Washington, D.C. (Jan. 26, 1998).  WELCOME, COLLEAGUES  ",1998
1,Senate,105,-0.303,4,1,Mr. DASCHLE.," Mr. President, I wel;  come back  the majority  leader and  again wish him a happy New Year and  commend him for his leadership. Dur ing the past 3 months, when we have  not been here, I have seen him on sev eral public appearances and, as alwayf?,  he has been articulate and very forth coming with regard to the schedule and  our plans for the coming weeks. I wel come the opportunity to work closely  ",1998
2,Senate,105,-0.583,17,1,Mr. WELLSTONE.," Mr. President,  I  ask unanimous consent that morning  business be extended for 10 minutes.  ",1998
3,Senate,105,-0.443,56,1,Mr. KENNEDY., I ask unanimous con sent for 4 more minutes.  ,1998
4,Senate,105,0.31,69,1,Mr. BOND.," Mr.  President,  I  rise  today to recognize Missouri State Rep resentative Bonnie Sue Cooper for her  outstanding  contributions  to  the  American Legislative Exchange Coun cil (ALEC). As last year's chairwoman,  Bonnie Sue set a new leadership stand ard that will be a challenge for all fu ture chairpersons.  ALEC is the largest bipartisan, indi vidual membership association of State  legislators in the country. After serv ing as vice-chairwoman  for 2 years,  Bonnie Sue was voted chairwoman for  the 1997  term. According to Arkansas  Speaker of the House Bobby Hogue, ""In  the year Bonnie Sue has been chairman  there has been progress on every front  at ALEC. It has strengthened its policy  making operations and raised its pro file among both legislators and the pri vate sector."" Speaker Hogue replaced  Bonnie Sue as chairman.  Bonnie Sue has been an  incredible  leader, not only in the State of Mis souri, but also at a national  level.  I  enjoy seeing leadership of Bonnie Sue's  caliber and know that there are only  . bigger things to come for her. I con gratulate Representative Cooper on an other outstanding year and wish her  success in the future.   PUBLIC-PRIVATE PARTNERSHIPS   ",1998
5,Senate,105,-0.231,69,1,Mr. GRAHAM.," Mr. President, we con tinue  to see positive signs reflecting  the strength of our national economy.  Thirty-year mortgage  rates  remain  low, consumer confidence is high and  unemployment is down.  In the midst of these sustained posi tive  trends, America faces new chal lenges as we approach a new century.  Among them: meeting a critical need  for skilled technology workers and the  continuing effort to move more Ameri cans from welfare to work.  We are an innovative people and I'm  confident that we can meet new chal lenges, in part via public-private part nerships. One  of  the key people  in  America advancing the concept of pub lic-private partnerships  is Mr. Greg  Farmer. As Florida's Secretary of Com merce, Mr. Farmer pioneered public private partnerships at the state level,  doing more with less tax dollars.  Now  in  the  private  sector, with  Norte!, Mr. Farmer and his company  are helping provide high-tech equip ment to schools and technology train ing to help move people from welfare  to work. On  January  13,  1998, Mr.  Farmer  testified  before  the  Senate  Committee on Labor and Human Re sources.  I commend his  testimony to  my colleagues and all those interested  in  public-private  partnerships  as  a  means of reducing welfare dependency  and advancing job training. I respect fully ask that his testimony be printed  in the RECORD:  The testimony follows:  STATEMENT OF GREG FARMER, VICE PRES! .  DENT, GOVERNMENT RELATIONS AND  INTER NATIONAL TRADE, NORTEL  Mr. Chairman, Members of the Committee.  My name  is Greg Farmer, and I am Vice  President for Government Affairs and Inter national  Trade  for  Nortel  (Northern  Telecom). It gives me pleasure  to be with  you  this morning  to discuss  some of  the  things Nortel  is doing  in  the Washington,  D.C. area to help prepare inner city youth  for a fruitful life beyond high school, wheth er it be college or acquiring a special skill.  Bell Atlantic is a household word and all of  you  are  certainly  familiar with  it. You  might not be as well acquainted with Nortel  (even though-and I hesitate to say this in  case you had a telephone problem this morn ing-the Senate  does  have our  telephone  switch). Nortel is the leading global supplier  of fully digital network solutions and serv ices. We design, build and integrate digital  networks  that  communicate  voice,  data,  image and video for customers in the infor mation,  communications,  entertainment,  education, government and commerce mar kets. Our customers are local and long dis tance  telecommunications companies, busi nesses, universities, governments, cable tele vision companies, competitive  local access  providers,  Internet  services providers and  other network operators around the world.  We operate in 150 countries around the globe .  We have more employees in  the U.S.  than  anywhere else. Here, we are based in Nash ville, Tennessee and have major state-of-the art centers-including research and develop ment, manufacturing,  semiconductor  and  software-engineering  facilities-in  nine  other states. And we have sales and services  offices in every state of the union. We count  Bell Atlantic as a good customer, and I am  pleased to be on  the panel today with my  friend Bill Freeman.  Yesterday the Administration announced a  massive public-private effort aimed at high  tech training. This was in response to con cerns by economists and business  leaders  that U.S. companies have a critical shortage  of skilled  technology workers. The  initia tive, which will include millions of dollars in  grants to fund educational programs, comes  as a new survey shows that 1 in every 10 in formation  technology  jobs  in  the U.S.  is  unfulfilled.  This comes as no surprise  to Nortel. As  with other  telecommunications companies,  education and workforce development is an  essential part of Nortel's overall business  strategy.  Our  industry  requires  highly  skilled workers at even the most basic entry  level positions. We are constantly  looking  for opportunities to work with organizations  that provide training and enhance our work force.  The Administration ought to take a good  look at Capital Commitment. It is a stellar  example of a high  tech  training program  that works. It is a shiny gem; a diamond in  a  rusty crown. And I hope some of those  grants will go to Capital Commitment so it  can continue the incredible success it has en joyed in the past.  One only need hear the Ricky Mozee story  to understand the cascading good this pro gram has for individuals and for our commu nity. Ricky Mozee is a walking, talking wel fare-to-work  success  story. Before  finding  Capital Commitment in 1992, Ricky was a  drug and alcohol abuser, living on welfare in  the tough streets of Anacostia. In his own  words, he had no future; his family had no  future; he was afraid to dream. He was fight ing his addictions and looking at an 84 per cent unemployment rate in his community.  Then he found Capital Commitment. Today,  he has a high paying job as a telecommuni cations supervisor at National Airport. He  owns a house in suburban Maryland. He sup ports a wife and three children. He is a post er boy for what the future could be, if we get  it right.  When LaVerne and Ernest Boykin estab lished Capital Commitment in 1991, their vi sion  to  train  inner  city youth  in  tele communications and life skills and to facili tate  job opportunities  for  them resonated  ",1998
6,House,105,-0.376,82,1,Mr. LANTOS.," Mr. Speaker, I thank the gen tleman  for yielding  to me.  I want  to express  my strong support for the passage of this leg islation.  Let me say at  the outset  that  I share  the  concerns which were  raised  by  the distin guished ranking member of the Committee on  International Relations, Mr. HAMIL TON, about  the inappropriate way in which this bill comes  to  the  floor of  the House  today. We should  have held hearings, and we should have had  proper consideration of this  legislation  in  the  Committee. There  is not such urgency in the  adoption of this  legislation that we could not  have followed regular procedures in the con sideration of this bill.  Having said  that, however, Mr. Speaker, I  want  to  indicate my strong  support  for S.  1564-the Holocaust Victims Redress Act.  I  want  to  thank my dear friend, Congressman  JIM LEACH, the Chairman of the Banking Com mittee, who  introduced a similar bill  in  the  House of Representatives and who has shown  great sympathy for this  issue. I also want to  thank my dear friend, Congressman BEN GIL MAN, the Chairman of the  International Rela tions Committee, for his efforts and support of  this legislation.  Mr. Speaker, the Holocaust Victims Redress  Act directs that the United States Government  support the contribution of all or of a substan tial portion of  the gold  remaining under  the  control of  the Tripartite Gold Commission  to  charitable organizations to assist survivors of  the Holocaust. It also authorizes the President  to obligate up to $30 million for such distribu tion.  It authorizes appropriations  for archival  research  to assist in  the  restitution of assets  looted  from Holocaust victims and  for other  activities  to  further Holocaust  remembrance  and education. The legislation urges efforts to  facilitate the return of private and public prop erty-primarily  works  of  art-which  were  seized during  the period of Nazi  rule  to  the  rightful owners in cases where the ownership  can be established.  Mr. Speaker,  it is most appropriate that we  take  the action proposed  in  this  legislation.  Thousands and  thousands of  the victims of  Nazi  terror suffered  the destruction of  their  lives, the murder of their family members, and  debilitating illnesses resulting from their unbe lievable hardships.  It  is only appropriate that  we acknowledge this suffering and take these  modest steps to assist the victims.  The Administration has indicated its support  for  the approach  that  this  legislation  takes.  The United States Government  recognizes  that a portion of the gold looted by the Nazis  contained a significant amount of gold stolen  or coerced from victims of the Holocaust. I am  delighted  that  the Administration  favors  the  proposal that the remaining gold, or most of it,  be contributed to the ""Special Persecutee Re lief Fund"" which was announced in December  1997, and  I welcome  the positive  reaction  from many of the potential donors to this fund.  I do hope, Mr. Speaker, that the neutral coun tries who received Nazi gold during the course  of World War II will also make generous con tributions to this fund. It is most appropriate in  view of the benefits they enjoyed as a result  of the Nazi gold that was moved to their coun tries during the war.  I am also pleased, Mr. Speaker, that the Ad ministration has shown United States leader ship by indicating our intention to participate in  this fund with a contribution of up to $25 mil lion. This should be an incentive for countries  which have claims under  the Tripartite Gold  Commission and countries which were neutral  in World War  II  to  join  in making significant  contributions  to  this  fund. Our contribution  is  indeed a modest amount-and I hope that our  participation will  increase-but I do hope that  it will encourage others.  Mr. Speaker, no amount of monetary  rep aration and no amount of recognition or ex pressions of sorrow can ever compensate for  the unspeakable suffering  that the victims of  the Holocaust have endured.  It  is  important,  however,  that we make  this gesture of rec ognition-regardless of how small  it  is in  the  face of the enormity of the  injustice against  these victims.  DREIER).  ",1998
7,House,105,-0.171,82,1,Mr. HAMILTON.," Mr. Speaker, I with draw my reservation of objection.  The  SPEAKER  pro  tempore  (Mr.  Is there objection to the re quest of the gentleman from Iowa?  There was no objection.  The Clerk read the Senate bill, as fol lows:  s. 1564  Be it enacted by the Senate and House of Rep resentatives of the United States of America in  Congress assembled,  SECTION 1. SHORT TITLE.  This Act may be cited as the ""Holocaust  Victims Redress Act"".  TITLE I-HEIRLESS ASSETS  SEC. 101. FINDINGS AND PURPOSES.  finds as fol (a) FINDINGS.-The Congress  lows:  (1) Among the $198,000,000 in German assets  located in the United States and seized by  the United States Government in World War  II were believed to be bank accounts, trusts,  securities, or other assets belonging to Jew ish victims of the Holocaust.  (2) Among an estimated $1,200,000,000 in as sets  of Swiss  nationals  and  institutions  which were frozen by the United States Gov ernment during World War II (including over  $400,000,000  in bank deposits) were  assets  whose beneficial owners were believed to in clude victims of the Holocaust.  (3) In the aftermath of the war,  the Con gress recognized that some of the victims of  the Holocaust whose  assets were  among  those seized or frozen during the war might  not have any legal heirs, and legislation was  enacted  to authorize  the  transfer of up to  $3,000,000  of  such  assets  to  organizations  dedicated to providing relief and rehabilita tion for survivors of the Holocaust.  (4) Although the Congress and the Admin istration authorized  the  transfer of  such  amount to the relief organizations referred  to in paragraph (3),  the enormous adminis trative difficulties and cost involved in prov ing legal ownership of such assets, directly  or beneficially, by victims of the Holocaust,  and proving the existence or absence of heirs  of such victims, led the Congress in 1962  to  agree to a lump-sum settlement and to pro vide $500,000 for the Jewish Restitution Suc cessor Organization of New York, such sum  amounting  to 1/sth of the authorized max imum level of ""heirless"" assets to be trans ferred.  (5) In June of 1997, a representative of the  Secretary of State, in testimony before the  Congress, urged  the reconsideration of the  limited $500,000 settlement.  (6) While a precisely accurate accounting  of ""heirless"" assets may be impossible, good  conscience warrants the recognition that the  victims of the Holocaust have a compelling  moral claim to  the unresti tu ted portion of  assets referred to in paragraph (3).  (7) Furthermore, leadership by the United  States in meeting obligations to Holocaust  victims would strengthen(A) the efforts of the United States to press  for the speedy distribution of the remaining  nearly 6 metric tons of gold still held by the  Tripartite Commission for the Restitution of  Monetary Gold  (the  body  established  by  France, Great Britain, and the United States  at the end of World War II to return gold  looted by Nazi Germany to the central banks  of countries occupied by Germany during the  war); and  (B) the appeals by the United States to the  15 nations claiming a portion of such gold to  contribute a substantial portion of any such  distribution  to Holocaust survivors  in rec ognition of  the  recently documented  fact  . that the gold held by  the Commission  in cludes gold stolen from individual victims of  the Holocaust.  (b) PURPOSES.-The purposes of  are as follows:  (1) To provide a measure of justice to sur vivors of the Holocaust all around the world  while they are still alive.  (2) To authorize  the appropriation of an  amount which  is  at  least  equal  to  the  present value of the difference between the  amount which was authorized  to be  trans ferred  to  successor organizations  to com pensate for assets  in  the United States of  heirless victims of  the Holocaust and  the  amount actually paid in 1962  to the Jewish  Restitution Successor Organization of New  York for that purpose.  (3)  To  facilitate  efforts  by  the United  States  to seek an agreement whereby na tions with claims against gold held by the  Tripartite Commission for the Restitution of  Monetary Gold would contribute all, or a  substantial portion, of that gold  to chari table organizations to assist survivors of the  Holocaust.  this Act  SEC. 102. DISTRffiUTIONS BY THE TRIPARTITE  GOLD COMMISSION.  (a) DIRECTIONS  TO  THE  PRESIDENT.-The  President shall direct the commissioner rep resenting  the United States on  the Tri partite Commission  for  the Restitution of  Monetary Gold, established pursuant to Part  III of the Paris Agreement on Reparation, to  seek and vote for a timely agreement under  ",1998
8,House,105,0.54,95,1,Mr. KINGSTON.," Mr. Speaker, last in  the hearts of the New York Times and  the Washington  Post,  first  in  the  hearts of his countrymen, that perhaps  is the most fitting description of Ron ald Reagan. He came into office after a  difficult decade, with humiliation  in  Iran  and  economic  tough  times  at  home. The Soviet Union was expanding  into Afghanistan and into our very own  backyard. Inflation was soaring, unem ployment was up, and also  that irre pressible  American  confidence  was  shaken.  But not Ronald Reagan's confidence.  He had  the courage  to stand up and  speak out for what was right. He had  the courage  to  face  the Soviet bear  right in the eye and say, back off.  Now that the Soviet Union is, as we  know it, dead and over with, Ronald  Reagan's legacy must stand proud and  tall. A fitting monument to him would  be naming the National Airport after  him so that when people come to our  Nation's capital, they can honor one of  America's greatest Presidents.  NEW HEALTH CARE INITIATIVES  (Mr. PALLONE asked and was given  permission to address the House for 1  minute and to revise and extend his re marks.)  ",1998
9,House,105,-0.402,95,1,Mr. PALLONE.," Mr. Speaker, as are sult of democratic leadership, Congress  passed the Kennedy-Kassebaum bill in  1996, which extended health care insur ance portability to millions of Ameri cans and  further  limited preexisting  condition  exclusions. Last year  the  Democrats successfully fought to pass  legislation  that will  provide  health  care benefits to over 5 million children,  and both of  these bills were enacted  into law despite strong initial opposi tion from the Republican leadership.  Now, under  the President's  leader ship, Democrats are now poised to fight  for  two new health care  initiatives.  ",1998
