actual,difference,index,predicted,sentence1,sentence2,sentence3
0.782,-1.224025125026703,7726,-0.4420251250267029,"This Congress ought  to do  its  job  and act today on a real continuing resolution  to keep the full Government running-and pro vide  the 160,000 railroad  retirees with  their  earned benefits","This Congress ought  to do  its  job  and act today on a real continuing resolution  to keep the full Government running-and pro vide  the 160,000 railroad  retirees with  their  earned benefits",congress ought job act today real continu resolut keep full govern run pro vide railroad retire earn benefit
0.919,-1.2157997193336487,1479,-0.2967997193336487," But I would like to on this first day  of the second session of the lOlst Con gress say  that  I believe one of  the  most  important developments which  took place during  the congressional  recess was taken by the duly elected  President of El Salvador, a man who  represents  the  first  transition  from  one  democratically  elected  govern ment to another in the history of that  country"," But I would like to on this first day  of the second session of the lOlst Con gress say  that  I believe one of  the  most  important developments which  took place during  the congressional  recess was taken by the duly elected  President of El Salvador, a man who  represents  the  first  transition  from  one  democratically  elected  govern ment to another in the history of that  country",would like first day second session lolst con gress say believ one import develop took place congression recess taken duli elect presid el salvador man repres first transit one democrat elect govern ment anoth histori countri
0.863,-1.206649536371231,6536,-0.3436495363712311,"Four  years ago, this body amended the Food  Stamp Act in order to expand and im prove the food stamp program","Four  years ago, this body amended the Food  Stamp Act in order to expand and im prove the food stamp program",four year ago bodi amend food stamp act order expand im prove food stamp program
0.863,-1.1554385368824005,5579,-0.2924385368824005," While there are a number of legislative proposals to address this issue, the  consensus is clear: we need a fail-safe  solution  that  increases  transparency  and accountability so that the military  no longer is a place where sexual assault is tolerated"," While there are a number of legislative proposals to address this issue, the  consensus is clear: we need a fail-safe  solution  that  increases  transparency  and accountability so that the military  no longer is a place where sexual assault is tolerated",number legisl propos address issu consensu clear need fail safe solut increas transpar account militari longer place sexual assault toler
0.7390000000000001,-1.152006752729416,5796,-0.4130067527294159,It is estimat ed that we have  lost over 1 million  jobs in the auto and related industries  since the mid-1970's because of foreign  imports  and  the number  is  rising  sharply,It is estimat ed that we have  lost over 1 million  jobs in the auto and related industries  since the mid-1970's because of foreign  imports  and  the number  is  rising  sharply,estimat ed lost million job auto relat industri sinc mid foreign import number rise sharpli
0.691,-1.141920283794403,7982,-0.4509202837944031,"Since  1992, the Great Lakes Shipwreck Historical Society has operated the Great  Lakes Shipwreck Museum to educate  the public about shipwrecks in the region","Since  1992, the Great Lakes Shipwreck Historical Society has operated the Great  Lakes Shipwreck Museum to educate  the public about shipwrecks in the region",sinc great lake shipwreck histor societi oper great lake shipwreck museum educ public shipwreck region
0.541,-1.1346408042907714,115,-0.5936408042907715," In the coming decades, some scholars believe, food scarcity will be the normal con dition of life on earth-and not only in the  poor countries but in the richer ones as well"," In the coming decades, some scholars believe, food scarcity will be the normal con dition of life on earth-and not only in the  poor countries but in the richer ones as well",come decad scholar believ food scarciti normal con dition life earth not poor countri richer one well
0.7390000000000001,-1.1256663277149201,5662,-0.38666632771492004,"But let  there be no change by usurpation; for though  this is one instance of good, it is the cus tomary weapon by which free governments  are destroyed","But let  there be no change by usurpation; for though  this is one instance of good, it is the cus tomary weapon by which free governments  are destroyed",let chang usurp though one instanc good cu tomari weapon free govern destroy
0.919,-1.1145230683088303,7640,-0.19552306830883026,"Speaker, I rise in support of the  gentleman’s amendment","Speaker, I rise in support of the  gentleman’s amendment",rise support gentleman amend
0.919,-1.0987186732292176,4096,-0.17971867322921753, This year’s  infrastructure grade  from  the  American Society of Civil Engineers is a ‘ ‘D+.’ ’  Sound infrastructure is literally and figuratively  the  foundation of our nation’s economy, This year’s  infrastructure grade  from  the  American Society of Civil Engineers is a ‘ ‘D+.’ ’  Sound infrastructure is literally and figuratively  the  foundation of our nation’s economy,year infrastructur grade american societi civil engin sound infrastructur liter figur foundat nation economi
